	th1_ko1.cel	th1_ko2.cel	th1_ko3.cel	th1_wt1.cel	th1_wt2.cel	th1_wt3.cel
1430613_at	4.716393	4.960733	5.015368	4.919373	5.117241	5.028241
1430614_at	6.061717	6.221668	5.791356	6.340381	6.03842	6.119097
1430615_at	4.075305	4.080856	4.005722	4.307609	4.483613	4.201792
1430616_at	3.933572	3.846437	3.747094	3.542458	3.806833	3.890812
1430617_at	7.056356	7.110099	7.269699	7.354533	7.185775	7.280128
1430618_at	4.2507	4.029065	4.02008	3.752736	3.811997	3.978342
1430619_a_at	7.69782	7.464625	7.388678	7.26064	7.292343	7.239734
1430620_at	4.310988	4.176301	4.204529	3.930222	4.260481	4.096623
1430621_at	2.979536	3.131266	2.915649	3.079922	2.909183	3.146815
1430622_at	4.148755	4.148224	3.835015	3.922011	3.945041	4.144186
1430623_s_at	11.367	11.01327	11.06131	11.09617	11.11622	11.16964
1430624_at	3.967427	3.610829	3.808469	3.81391	3.618716	3.759914
1430625_at	3.541135	3.42516	3.321791	3.182652	3.449352	3.554852
1430626_at	4.347863	3.945943	4.136544	4.061758	3.967266	3.97122
1430627_at	4.558916	4.492567	4.624302	4.474598	4.403015	4.433611
1430628_at	3.86121	3.566024	3.614149	3.617142	3.76076	3.601527
1430629_at	4.737186	4.663886	4.620067	4.583593	4.812259	4.70683
1430630_at	3.846718	4.096582	4.374809	3.782224	3.924079	3.928271
1430631_at	5.087534	4.615695	4.724149	4.929144	4.757331	4.877845
1430632_at	6.079979	6.010388	6.050699	5.92486	5.969937	6.094443
1430633_s_at	5.241959	4.966033	5.000823	4.981732	4.835166	4.817863
1430634_a_at	10.14343	9.986265	9.723638	10.19242	10.08384	9.828559
1430635_at	4.04845	3.997932	3.97591	3.996811	3.906215	3.893616
1430636_at	3.246493	3.577465	3.567776	3.585947	3.610361	3.723945
1430637_at	3.365859	3.472065	3.293754	3.24803	3.26602	3.161058
1430638_at	4.528949	4.36688	4.413848	4.447845	4.341778	4.386925
1430639_at	4.340756	4.646632	4.292563	4.60533	4.402729	4.382423
1430640_a_at	5.39559	4.873391	4.977878	4.792697	4.87145	4.886518
1430641_at	5.494585	5.428828	5.473904	5.471985	5.603985	5.469138
1430642_at	4.404079	4.170412	4.428339	4.298185	4.304809	4.19539
1430643_at	3.292917	3.348853	3.271115	3.296349	3.357625	3.322275
1430644_at	4.287187	4.219948	3.970551	4.021796	4.252942	4.074897
1430645_at	3.793565	3.834419	3.754626	3.765081	3.766673	3.858105
1430646_at	4.991166	4.981518	5.234618	4.766659	4.906069	4.755992
1430647_at	3.871042	4.069247	3.889187	4.258303	3.9818	4.031926
1430648_at	4.849922	4.878745	4.774418	4.939897	4.975588	4.824018
1430649_at	5.327246	5.361018	5.332667	5.393856	5.460627	5.245031
1430650_at	5.241552	5.564392	5.097263	5.39593	5.050893	5.384909
1430651_s_at	5.415864	5.547306	5.626941	5.675027	5.901097	5.57023
1430652_at	4.066777	3.981604	3.889938	3.985432	3.996915	3.98626
1430653_at	4.307056	4.255042	4.162004	4.393279	4.197994	4.197994
1430654_at	3.542145	3.637146	3.532712	3.677852	3.622704	3.587345
1430655_at	4.290975	4.136956	4.042092	4.214531	4.176506	4.160771
1430656_a_at	9.830389	9.890248	9.820189	9.791758	9.803227	9.807508
1430657_at	3.938897	4.106938	4.068525	4.036624	3.977772	4.010301
1430658_a_at	3.370873	3.243812	3.318017	3.356826	3.216831	3.362185
1430659_at	4.138626	4.357682	3.945132	4.425384	3.983718	4.078549
1430660_at	3.907838	3.991637	3.819937	3.703139	3.647798	3.915688
1430661_at	4.602219	4.461288	4.835848	4.93455	4.610672	4.692669
1430662_at	4.326924	4.234781	4.200851	4.273589	4.298274	4.2208
1430663_at	5.298264	4.977578	4.936029	5.074798	5.052441	5.075462
1430664_at	5.328606	5.321259	5.426041	5.486741	5.387916	5.18154
1430665_at	5.542365	5.580065	5.191924	5.423197	5.551182	5.324658
1430666_at	4.09711	4.090656	3.919695	4.29427	4.206595	4.149599
1430667_at	3.232707	3.596425	3.54253	3.079941	3.168365	3.478272
1430668_a_at	6.637012	6.792156	6.764349	6.969345	6.783625	6.736766
1430669_at	3.456029	3.564249	3.555445	3.556789	3.561703	3.580411
1430670_at	4.604033	4.445305	4.690596	4.749825	4.62071	4.346555
1430671_a_at	7.042456	6.806323	6.915861	7.364112	7.086769	7.104293
1430672_at	6.609281	6.561783	6.49948	6.608234	6.71437	6.393482
1430673_a_at	5.138773	5.235462	4.789774	5.307977	5.335778	5.280883
1430674_at	3.686819	3.805161	3.728219	3.637474	3.737626	3.751353
1430675_at	3.59435	3.729533	3.667283	3.759829	3.490784	3.560489
1430676_at	4.373248	4.509941	4.337336	4.329993	4.254612	4.557235
1430677_at	4.020342	4.002107	3.987535	4.049328	4.001904	4.00834
1430678_at	3.514525	3.457033	3.548798	3.468937	3.497929	3.403812
1430679_at	5.746107	5.267789	5.539202	5.387844	5.349066	5.194141
1430680_a_at	7.205397	7.148014	7.456815	7.150182	7.155927	7.163351
1430681_at	4.97044	4.976334	4.761176	4.959859	5.005003	4.959859
1430682_at	3.712109	4.250628	3.718264	3.780913	3.756323	3.780913
1430683_at	4.41322	4.466026	4.369185	4.470786	4.543831	4.566043
1430684_s_at	3.398635	3.371658	3.384816	3.384816	3.342587	3.442068
1430685_at	5.351409	5.567222	5.722615	5.42257	5.475557	5.589133
1430686_at	4.228297	4.261139	4.166551	4.111347	4.274825	4.213079
1430687_at	4.400277	4.38081	4.439531	4.496376	4.483528	4.339569
1430688_s_at	4.100617	4.051541	4.196041	4.20246	4.099481	4.051543
1430689_at	3.525943	3.482872	3.470598	3.360321	3.322913	3.381811
1430690_at	3.67526	3.869934	3.59665	3.985607	3.874199	3.689836
1430691_at	4.25055	4.078821	4.032293	4.268034	4.182158	4.100225
1430692_a_at	8.172499	7.805288	7.994342	8.204918	7.974675	8.093408
1430693_at	4.377973	4.153562	4.09237	4.299308	4.24571	4.126324
1430694_at	4.540794	4.140498	4.377286	4.605964	4.720592	4.779995
1430695_at	3.939182	3.793939	3.896296	3.68558	3.710435	3.692923
1430696_at	4.260983	4.035703	4.04464	4.163654	4.229671	4.13438
1430697_at	5.185427	5.263177	5.65899	4.703954	5.142278	5.319283
1430698_a_at	3.674885	3.623588	3.650948	4.076861	3.851352	3.907946
1430699_at	4.159276	4.274387	3.895306	3.967789	4.155549	4.058317
1430700_a_at	4.078173	4.426164	3.99284	4.011924	4.019142	3.97378
1430701_a_at	4.342619	4.326814	4.31188	4.395204	4.371618	4.327535
1430702_at	6.903638	7.008932	7.053673	7.046878	7.206415	6.953387
1430703_at	3.264859	3.483451	3.342205	3.338443	3.256919	3.193171
1430704_at	4.097476	3.885395	3.818408	3.858084	4.0582	3.996729
1430705_at	6.856088	6.821179	7.106122	6.848446	6.865534	6.857725
1430706_at	3.364359	3.386221	3.216179	3.344021	3.392269	3.383729
1430707_s_at	3.816957	3.660672	3.810702	3.682971	3.730001	3.600446
1430708_a_at	5.395079	5.345245	5.084544	5.326156	5.294042	5.324822
1430709_at	3.77734	3.735517	3.810702	3.743277	4.008937	3.780913
1430710_at	4.211104	4.23812	4.52015	4.363966	3.931877	4.238817
1430711_at	3.553359	3.71969	3.704952	3.871042	3.423865	3.590998
1430712_at	4.980829	4.923791	4.988593	5.056852	5.023018	4.914213
1430713_s_at	11.70927	11.69905	11.73281	11.7246	11.69703	11.75162
1430714_at	3.563148	3.456742	3.592581	3.331151	3.49126	3.520603
1430715_at	5.235565	5.060536	5.140228	5.151163	5.215593	5.140228
1430716_at	4.252512	4.232926	4.225061	4.262421	4.337409	4.239615
1430717_at	4.197589	4.430265	4.017954	4.084853	4.161519	4.201473
1430718_s_at	8.269269	8.27931	8.229522	8.309418	8.100834	8.270752
1430719_at	4.837499	4.847396	4.67886	4.800501	4.831558	4.95914
1430720_at	4.461359	4.208693	4.331565	4.350577	4.119311	4.090894
